id,predicted_price
2591820310,369027.53
7974200820,818687.9
7701450110,1.1219665e+06
9522300010,1.4052995e+06
9510861140,712604.06
1761300310,247114.03
7732410120,799801.56
7010701383,648081.94
291310170,440775.84
4232901990,554557.4
6840701125,606344.7
3971700580,414895.5
4202400078,230865.1
6064800090,344198.16
2626119028,296884.53
3303980660,1.0641171e+06
862000020,751948.25
2386000070,1.0863258e+06
1138000450,331280.22
1775800420,460161.62
2291401425,357644.4
2025770560,989457.94
3525069037,816296.8
9324800450,594996.44
8080400136,492661.3
8651540040,528183.2
9407001790,277062.1
1773101530,156845.25
9432900250,341324.22
1794500695,536184.25
2220069003,399466.3
923000120,514040.72
5728000060,544012.25
16000200,246948.17
1926059094,443925.88
6672900220,1.1666329e+06
3629860060,820549.8
1822069109,423117.3
6675500105,349269.6
249000180,2.1509938e+06
226059065,468985.22
396100110,266357.03
9264450460,343872.03
7853361210,393980.38
9474700020,281713.06
421000455,220849.14
3755200220,377026.56
7960100075,456950.88
9477100490,382350.06
9138100350,770123.9
1624049275,482203
2770606890,506418.38
1157200189,356584.2
2770601800,464625.12
9301300805,504153.06
2325069032,1.248828e+06
1021079099,382442.7
7215730040,745467.1
1853200080,450966.6
3224600340,702101
3222049120,407791.3
2113700025,265488.7
7893207925,212449.48
3586501085,626394.56
8024200010,471897.8
7116500705,192399.7
1598600209,277947.34
7204200025,920312.44
4206901505,543693.8
2937300440,906703.8
7205000180,307576.47
8718500665,332539.72
5318101765,850828.4
4122700020,1.1525849e+06
8078700020,557292.5
3303980680,926970.75
8924100372,1.1537176e+06
2781270210,213514.02
519000043,544586.94
3225069301,1.3744382e+06
151000075,810721.75
2297400020,400988.5
6617500085,523701.1
104510180,223487.62
3528900060,915266.5
3345100286,491898.88
1226039130,468425.56
8712100720,858799.5
3037200010,418089.75
3626039268,479914.16
104510230,224177.75
5112800060,444393.94
6072400280,640300.06
5317100570,1.1337498e+06
9528102993,541454.9
2919201095,532942.94
6181400920,261060.5
185000161,235644.72
8691400010,778459.8
3345700165,499640.4
6151800486,249926.34
4340000080,1.3035052e+06
4136960010,598094.7
3634100030,362619.88
1624059224,1.1654574e+06
2788400090,228071.44
9828200762,422218.44
7524400250,599979.94
3528000290,759139.25
5700003630,1.8787314e+06
2720069019,343201.72
7227501170,227587.34
2397101270,631670.56
6792100090,736716.8
2770602265,513543.38
3971700937,293188.78
422049203,230355.97
3076500830,331868.72
1423400260,255249.77
9161100795,426904.22
3126049052,540216.5
5100401468,440789.3
514500235,473732.12
1423200170,165393.28
1402100070,415998.9
624110020,760921.56
2407000145,218213.72
1890000225,874540.2
1320069271,338151.62
5490700085,346487.12
263000155,526047.2
3726800201,396190.22
5153200358,291825.5
2725079018,682378.4
7165700200,301680.03
9429000170,564246.9
8718500075,362670.38
1760650950,289144.16
1068000559,1.0790464e+06
4113800500,540904.7
4077800507,465439.38
2725069150,752491.3
4008400035,642918.94
7016310270,402914.72
1432701230,210082.33
3278606050,357105.9
2473350710,361720.12
2185000685,145296.06
7792000025,292695.12
6868200029,420017.22
624069003,857770.6
7431500280,935367.06
3296000040,541360.9
1118001215,1.6492978e+06
6453900040,789436.4
333100209,601551.5
34001765,648953.4
8946700100,376865.88
5561401210,697963.2
6671900095,399152.53
3275850020,725411.94
3876300600,401505.06
1450900020,259775.02
8562780280,326635.7
7663700973,342318.5
2126049032,358715.28
1823059159,198474.03
3438503426,244291.66
9297301495,456933
7140700850,359911.2
7942601805,758817.1
2555900030,338052.66
2887970040,261541.7
